Multi_scatter,Hit_res,mean,rms,n
0.0,0.0,1.0,0.0,3
0.0,0.0006000000000000001,1.0,0.0,3
0.0,0.002,1.0,0.0,3
0.0,0.004,1.0,0.0,3
0.0002,0.0,0.9916666666666667,0.011785113019775802,3
0.0002,0.0006000000000000001,0.9874999999999999,0.017677669529663678,3
0.0002,0.002,1.0,0.0,3
0.0002,0.004,1.0,0.0,3
0.0004,0.0,0.9791666666666666,0.021245914639969915,3
0.0004,0.0006000000000000001,0.9916666666666667,0.005892556509887875,3
0.0004,0.002,0.975,0.02700308624336609,3
0.0004,0.004,0.9708333333333333,0.011785113019775804,3
0.0006000000000000001,0.0,0.7791666666666667,0.025685058345704066,3
0.0006000000000000001,0.0006000000000000001,0.8625000000000002,0.02041241452319317,3
0.0006000000000000001,0.002,0.7875000000000001,0.05400617248673217,3
0.0006000000000000001,0.004,0.7708333333333334,0.023570226039551608,3
0.0008,0.0,0.6,0.09071475440448849,3
0.0008,0.0006000000000000001,0.6,0.056825757070774384,3
0.0008,0.002,0.6083333333333333,0.05237418787490223,3
0.0008,0.004,0.6083333333333334,0.05892556509887896,3
0.001,0.0,0.30833333333333335,0.02946278254943948,3
0.001,0.0006000000000000001,0.3541666666666667,0.041247895569215265,3
0.001,0.002,0.3583333333333334,0.02124591463996993,3
0.001,0.004,0.3875,0.017677669529663705,3
