Hit_res,Multi_scatter,mean,rms,n
0.0,0.0,0.9844354838709678,0.016579593916718476,155
0.0,0.0002,0.9944034090909092,0.01178039057138866,440
0.0,0.0004,0.9888625592417062,0.012855131729224575,633
0.0,0.0006,0.827610518292683,0.04215400296039548,656
0.0,0.0008,0.5696841294298922,0.05411296531044061,649
0.0,0.001,0.3694038461538462,0.05407598273063582,650
0.0006,0.0,0.9850155279503106,0.01744667317414676,161
0.0006,0.0002,0.9943052391799544,0.012696124096905445,439
0.0006,0.0004,0.9887718600953895,0.012465055251477954,629
0.0006,0.0006,0.8265937019969277,0.0422986380830855,651
0.0006,0.0008,0.5702572964669739,0.05537386065364572,651
0.0006,0.001,0.3730293663060278,0.057595260007509204,647
0.002,0.0,0.9866721854304636,0.015737188246297065,151
0.002,0.0002,0.9950741525423729,0.011430742507895785,472
0.002,0.0004,0.9858173076923077,0.01478251376675496,624
0.002,0.0006,0.8220712098009189,0.04239422362961878,653
0.002,0.0008,0.5624041411042945,0.054760357157163334,652
0.002,0.001,0.3674884437596302,0.055259838150053454,649
0.004,0.0,0.99375,0.012481604110709114,340
0.004,0.0002,0.996264097744361,0.009926292672292612,532
0.004,0.0004,0.9765258215962441,0.01822577599747008,639
0.004,0.0006,0.7984494640122513,0.04678338424938966,653
0.004,0.0008,0.5503799392097264,0.057677537667311055,658
0.004,0.001,0.35903100775193797,0.05091537103382011,645
